title,company_name
DevOps,QSI Recruitment
[ID] DevOps Engineer,Doctor Anywhere
DevOps,DDTC
DevOps Engineer [Cloud],Kompas Gramedia
DevOps Engineer,Bank Central Asia - BCA
DevOps,PT Nostra Solusi Teknologi
Engineering Manager - Transport,GO-JEK
DevOps Engineer,GITS Indonesia
Senior Devops Specialist,Cloud Kinetics
DevOps Engineer (Biller Aggregator),byOrange
BaruFront End Developer,ATI Business Group
DevOps Engineer,JULO
Devops Engineer,PT. ALTO Network
Senior DevOps Engineer,FinAccel
BaruCloud Engineer,Aplika
Allegro - Devops Engineer - 7051,ION
Data Engineer,GO-JEK
DEVOPS,PT Komunitas Anak Bangsa
BaruEngineering Manager - Backend,byOrange
BaruQA Automation Engineer (Remote),HappyFresh
DevOps Lead,Global Tiket Network
DevOps Engineer (Kafka),SEON. Fraud Fighters
Senior DevOps Engineer - Merchant Platform,GO-JEK
Software Engineer - Oval Data,Kompas Gramedia
DevOps Engineer,SEON. Fraud Fighters
DevOps,CrediBook
Senior Devops,Ajaib
BaruEngineering Manager - Backend,Zenius Education
DevOps Engineer,Dans Multi Pro
DevOps Engineer,Reeracoen Indonesia
Integration Developer,GO-JEK
Business Analyst,PT. Orang Informasi Teknologi
ARCHITECH IT,PT. AMRECINDO PUTRA MANDIRI
Senior Software Engineer / Senior Devops Engineer (Support R...,iZeno
Senior Backend Engineering,CT Corp Digital
Back End Engineer - CITIS,Kompas Gramedia
DevOps,Otto Digital
DevOps Engineer,Alodokter
Back End Developer,PGI Data
DevOps,PT Swadharma Duta Data
DevOps Engineer,Errai Pasifik
DevOps Engineer,Stockbit
Backend Developer,PT Bank Central Asia Tbk
C# Developer,Petrolink International
Senior Cloud Infra & Devops Engineer,Agriaku
Cloud Engineer (Managed Services),iZeno
DevOps Engineer - Merchant Platform,GO-JEK
Tech Lead,LIF
Baru(Tech SaaS) Platform DevOps Lead,MatchaTalent
Devops Engineer,ASYX International
Software Test Engineer,Petrolink International
Lead Developer,sribu.com
BaruSenior .NET Developer,We Are Zacapa
Dev Ops Engineer,1rstWAP
Product Owner,PhinCon
DevOps Engineer,Kolektibel
Cloud Engineer (Local Support),iZeno
DevOps & Scalability Engineer,Indosystem
Server Engineer,NTT INDONESIA TECHNOLOGY
ITIFS13 - Service Catalog Engineer,PT Bank Mandiri (Persero) Tbk.
